,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,21m,female,Ins1,18.0552921295166,9.35636457199962e-09,0.0025488133542239666,0.01550618838518858,1.0812611391687321e-206
1,droplet,3m,21m,female,Clps,17.79157257080078,8.298249865035245e-10,0.00018849782645702362,0.0027583243791013956,1.1060300141798306e-32
2,droplet,3m,21m,female,Ins2,15.868315696716309,1.3472934767833067e-07,0.008059432730078697,0.048406943678855896,3.597866130834103e-212
3,droplet,3m,21m,female,Sst,14.477580070495605,1.865071119766526e-08,0.00042550486978143454,0.007862471044063568,2.723753018750103e-19
4,droplet,3m,21m,female,Ctrb1,14.234124183654785,1.9986035937336055e-08,0.0003851648943964392,0.00538907665759325,3.294542374919843e-36
5,droplet,3m,21m,female,Ppy,13.99931526184082,4.928646646362722e-08,0.0008071425254456699,0.014905959367752075,2.5161268964648787e-19
6,droplet,3m,21m,female,Gcg,13.5137939453125,8.049083533023804e-08,0.0009414756787009537,0.014665466733276844,1.4251268197411239e-28
7,droplet,3m,21m,female,Krt13,-13.426837921142578,0.0002623251057229936,2.381993446931574e-08,0.001933750812895596,1.3814581736121744e-90
8,droplet,3m,21m,female,Resp18,12.993123054504395,8.17323009272286e-09,6.664487591478974e-05,0.0005477626691572368,2.2416758799384e-99
9,droplet,3m,21m,female,Cela3b,12.944202423095703,1.6238585587302623e-08,0.0001279876596527174,0.0017768662655726075,2.0143969250067092e-36
10,droplet,3m,21m,female,Chga,12.779963493347168,4.400881437049975e-08,0.0003095292777288705,0.0021255556493997574,3.7231098179914766e-160
11,droplet,3m,21m,female,Cela2a,12.533592224121094,1.0418621343433188e-07,0.0006177342147566378,0.008673801086843014,5.993444925641403e-36
12,droplet,3m,21m,female,Pyy,12.46534252166748,5.752842113793122e-08,0.00032533585908822715,0.004685006570070982,5.808009261001772e-34
13,droplet,3m,21m,female,2310002L13Rik,-12.403688430786133,1.565469392517116e-05,2.888099537301514e-09,0.00011580663704080507,1.726641021957828e-30
14,droplet,3m,21m,female,2210010C04Rik,12.146819114685059,4.521803376178468e-08,0.00020505866268649697,0.00281732645817101,1.5631093905038747e-37
15,droplet,3m,21m,female,Pnliprp1,12.096233367919922,2.2194088344917873e-08,9.718201181385666e-05,0.0014169183559715748,1.8451040376539104e-32
16,droplet,3m,21m,female,Slc30a8,12.060151100158691,5.10542630394184e-09,2.180641058657784e-05,0.0001533576869405806,7.91779294720585e-59
17,droplet,3m,21m,female,Krt4,-11.351195335388184,0.00048191225505433977,1.844655912464077e-07,0.004678604658693075,5.2626457270558014e-51
18,droplet,3m,21m,female,Krt6b,-11.235559463500977,4.743202589452267e-05,1.9670222783929603e-08,0.0007782268803566694,6.7429716102058025e-15
19,droplet,3m,21m,female,Scg2,11.074963569641113,2.756735817399658e-08,5.947124009253457e-05,0.00038274817052297294,2.690970573205324e-147
20,droplet,3m,21m,female,Serpinb3a,-10.998187065124512,2.7795736968982965e-05,1.3588206115855428e-08,0.0003123774949926883,2.892371389401051e-29
21,droplet,3m,21m,female,Krt84,-10.997411727905273,2.861151733668521e-05,1.3994557512830852e-08,0.0006335898651741445,2.0361602328549386e-06
22,droplet,3m,21m,female,Chgb,10.914400100708008,3.275447113537666e-08,6.321869295788929e-05,0.0005206795176491141,1.0238483917966028e-97
23,droplet,3m,21m,female,Krt77,10.649937629699707,1.4291937411314848e-08,2.296530146850273e-05,0.000151933723827824,4.428025562318629e-66
24,droplet,3m,21m,female,Cel,10.296463966369629,6.144784236994383e-08,7.727843330940232e-05,0.001172879128716886,2.1957497445505625e-29
25,droplet,3m,21m,female,Oas1f,10.238701820373535,1.2012137950989654e-08,1.4514854228764307e-05,5.9593185142148286e-05,4.512117968908389e-38
26,droplet,3m,21m,female,Cpb1,10.14616584777832,1.43581189604447e-07,0.00016270500782411546,0.0023072664625942707,6.982402018222158e-35
27,droplet,3m,21m,female,Tmprss11a,-10.106553077697754,1.5087068277352955e-05,1.368351032482451e-08,8.171000808943063e-05,5.197061802133583e-35
28,droplet,3m,21m,female,Pcsk2,10.03725528717041,1.3877162530206988e-07,0.00014582050789613277,0.0008818521164357662,1.761123769372232e-199
29,droplet,3m,21m,female,Zg16,9.950155258178711,6.895897541880913e-08,6.821695569669828e-05,0.0009189989068545401,1.4675572200985968e-37
30,droplet,3m,21m,female,Pnliprp2,9.870682716369629,2.0486758955939877e-08,1.918076304718852e-05,0.00029682129388675094,1.4490617676853313e-19
31,droplet,3m,21m,female,G6pc2,9.60301399230957,3.522683300616336e-08,2.739562842180021e-05,0.00019902210624422878,1.0349560960161987e-73
32,droplet,3m,21m,female,Sycn,9.507349014282227,1.4397828351775388e-07,0.00010478453623363748,0.0013826554641127586,2.9341242969087222e-40
33,droplet,3m,21m,female,Defb6,9.44654369354248,9.62868327292199e-08,6.718376243952662e-05,0.0009807571768760681,1.290032733187913e-31
34,droplet,3m,21m,female,Cpa2,8.803226470947266,1.1177419878549699e-07,4.993221227778122e-05,0.0007292490918189287,1.5427064966317587e-30
35,droplet,3m,21m,female,Ctrl,8.530424118041992,3.6776597767129715e-07,0.0001359835296170786,0.0019351408118382096,2.288781545511527e-34
36,droplet,3m,21m,female,Nkx6-1,8.42668342590332,2.9674669832502332e-08,1.0211395419901237e-05,8.343621448148042e-05,2.290220479175676e-15
37,droplet,3m,21m,female,Tff2,8.343132019042969,2.9905415033226745e-08,9.711742677609436e-06,0.00014084573194850236,1.2787475753068596e-09
38,droplet,3m,21m,female,Prss2,8.235762596130371,1.1728649269571179e-06,0.0003535573196131736,0.004835944157093763,9.305628545260087e-38
39,droplet,3m,21m,female,Pcsk1n,8.177513122558594,3.8155656056915177e-07,0.0001104680632124655,0.0006953086121939123,5.823733226851017e-178
40,droplet,3m,21m,female,Krt1,7.976260185241699,1.1219973430343089e-06,0.00028254376957193017,0.0014848244609311223,1.7890348964736788e-271
41,droplet,3m,21m,female,Ptprn2,7.562595367431641,6.827388432384396e-08,1.2907107702631038e-05,9.385484736412764e-05,3.0875912657471235e-25
42,droplet,3m,21m,female,Calm5,7.455550193786621,1.770960835756341e-07,3.108533928752877e-05,0.00013196778309065849,5.151928611543008e-136
43,droplet,3m,21m,female,Pla2g1b,7.032627582550049,1.7919484207595815e-07,2.346171640965622e-05,0.00034688517916947603,1.643170982460732e-23
44,droplet,3m,21m,female,Pax6,7.0050859451293945,7.004059909831994e-08,8.99698534340132e-06,6.976401346037164e-05,9.615279257996055e-12
45,droplet,3m,21m,female,Wdr65,6.959819316864014,8.359795344858867e-08,1.0406752153357957e-05,4.6284814743557945e-05,2.3880318670675086e-18
46,droplet,3m,21m,female,Cyp2c54,-6.815611839294434,1.23176623674226e-05,1.0935050909210986e-07,0.00011362523218849674,1.8461617335053995e-17
47,droplet,3m,21m,female,Klk5,6.726284980773926,7.847410898875751e-08,8.308935321110766e-06,7.994614134076983e-05,5.319404112885529e-09
48,droplet,3m,21m,female,Pdia2,6.548470497131348,1.0645701564726551e-07,9.964703167497646e-06,0.00015713936591055244,5.219951813434391e-09
